corp_name,corp_code,stock_code,ceo_name,industry_code
(주)SG세계물산,00133511,004060,이의범,46800
유니퀘스트(주),00414601,077500,앤드류김,4659
유엔젤(주),00416654,072130,유지원,631
(주)경동도시가스,01208885,267290,"송재호, 나윤호",35200
경인전자(주),00102140,009140,김성은,2629
(주)경동인베스트,00143527,012320,정승진,649
태원물산(주),00154055,001420,남기영,303
SK가스(주),00144164,018670,윤병석,46713
한국주강(주),00159564,025890,하만규,292
(주)디아이씨,00112165,092200,김정렬,303
효성티앤씨(주),01316227,298020,김치형,2050
(주)엘지헬로비전,00222532,037560,송구영,60222
대덕전자(주),01478712,353200,신영환,2622
(주)에이엔피,00143314,015260,전운관,2622
아세아(주),00138701,002030,"이훈범, 오기호",715
대원화성(주),00112022,024890,강동엽,22214
현대로템(주),00302926,064350,이용배,31201
금강공업(주),00105299,014280,"전장열, 전재범 (각자 대표이사)",2413
대신증권(주),00110893,003540,오익근,66121
효성화학(주),01316236,298000,이건종,201
DB손해보험(주),00159102,005830,"김정남, 정종표",65121
(주)벽산,00122898,007210,김 성 식,23999
한국콜마(주),00939331,161890,최현규,20423
롯데관광개발(주),00231372,032350,"김기병, 백현, 김한준",75210
삼화전기(주),00129271,009470,"오영주, 박종온",26291
현대코퍼레이션(주),00164812,011760,"정몽혁, 김원갑, 장안석(각자대표이사)",46800
(주)더존비즈온,00172291,012510,김용우,62022
(주)현대리바트,00300548,079430,윤기철,32029
(주)한섬,00188089,020000,김민덕,14112
금호석유화학(주),00106368,011780,백종훈,201
CS 홀딩스(주),00149026,000590,장원영,64992
부국철강(주),00123781,026940,남상규/손일호,2413
그린케미칼(주),00454946,083420,양준화,20421
한국가스공사(주),00261285,036460,최연혜,35200
(주)서흥,00131692,008490,양주환,2049
팬오션(주),00122737,028670,"김홍국, 안중호(각자 대표이사)",50112
(주)비비안,00107677,002070,손영섭,14120
DSR(주),00110608,155660,홍석빈,242
디와이파워(주),01059605,210540,박치웅,29241
(주) DB Inc.,00163345,012030,"문덕식,강운식 (각자 대표이사)",62021
(주)퍼시스,00161709,016800,"배상돈,박광호",32029
(주)바이오노트,00622787,377740,조병기,213
신송홀딩스(주),00136402,006880,조갑주,46201
성창기업지주(주),00133335,000180,우인석,71531
유니온머티리얼(주),00369833,047400,"김진영, 이우선",23222
유진투자증권(주),00131054,001200,"유창수, 고경모(각자 대표)",66121
인터지스(주),00151368,129260,박동호,49301
한국지역난방공사,00159698,071320,정용기,35300
삼천리(주),00128555,004690,"이찬의, 유재권",35200
대창단조(주),00112679,015230,박권일,303
한국내화(주),00160205,010040,변성희,2321
삼화전자공업(주),00129280,011230,"오영주, 이건화",265
(주)SNT홀딩스,00225159,036530,김도환,64992
대한유화(주),00260383,006650,강길순,20111
금호전기(주),00106395,001210,이홍민,28410
(주)윌비스,00104999,008600,"임찬혁(대표집행임원), 송주호(대표집행임원)",46413
(주)무학,00121543,033920,"최재호, 최낙준 (각자 대표이사)",11122
(주)유한양행,00145109,000100,대표이사 조욱제,212
성문전자(주),00132628,014910,신준섭,26291
(주)한미글로벌건축사사무소,00413523,053690,"윤요현, 박서영",72111
(주)우신시스템,00142883,017370,허우영,292
(주)JB금융지주,00980122,175330,김기홍,64992
(주)디아이,00118275,003160,박원호 조윤형,27212
(주)동방아그로,00115384,007590,"염병만, 염병진",2032
한국자산신탁(주),00404701,123890,김규철,642
(주)GS,00500254,078930,"허태수, 홍순기 (각자 대표이사)",64992
교보증권(주),00113359,030610,"박봉권, 이석기 (각자대표)",66121
제일연마공업(주),00148461,001560,"오유인, 오현수, 추헌주 (각자 대표)",23992
주식회사 엔에이치프라임위탁관리부동산투자회사,01391033,338100,소선호,681
디씨엠(주),00177199,024090,"정연택, 정동우(각자 대표)",2419
한세예스24홀딩스(주),00161976,016450,"김동녕, 김석환(각자 대표이사)",1419
(주)화신,00166315,010690,"정서진, 장의호",30391
동양철관(주),00117629,008970,이곽우,2413
(주)하이스틸,00435312,071090,엄정근,2413
(주)제주항공,00555874,089590,김이배,511
(주)LG,00120021,003550,"구광모, 권봉석",64992
한국투자금융지주(주),00432102,071050,김남구,64992
(주)대한항공,00113526,003490,"조원태, 우기홍",511
(주)동남합성,00115065,023450,"김정돈, 박미령 (각자대표)",201
코웨이(주),00170558,021240,서장원,969
(주)하나투어,00269940,039130,송미선,75210
코스모신소재(주),00129989,005070,홍동환,204
(주)LG화학,00356361,051910,신학철,20111
주식회사 미래에셋글로벌위탁관리부동산투자회사,01576102,396690,신현준,6811
기아(주),00106641,000270,"송호성,최준영(각자 대표이사)",30121
코오롱글로벌(주),00152880,003070,김정일,41221
(주)SIMPAC,00138260,009160,최진식,24113
롯데지주(주),00120562,004990,"신동빈,이동우",64992
현대엘리베이터(주),00164724,017800,조재천,29162
(주)와이지플러스,00249247,037270,최성준,631
두산에너빌리티(주),00159616,034020,"박지원, 정연인, 박상현",29119
(주)에넥스,00139764,011090,박진규,32021
(주)한솔케미칼,00140955,014680,박원환,20129
(주)금호에이치티,00105606,214330,"김진곤, 김두인(각자대표)",303
세기상사(주),00133618,002420,조영준,477
세방(주),00133812,004360,최종일,49301
부국증권(주),00123772,001270,박현철,66121
한국수출포장공업(주),00158112,002200,대표이사 회장 허용삼 대표이사 사장 허정훈(각자대표이사),1721
한일철강(주),00163196,002220,엄정헌,2419
(주)녹십자홀딩스,00108135,005250,"허일섭, 허용준",715
(주)사조대림,00109718,003960,김상훈,10211
강남제비스코(주),00100939,000860,"황익준,김재현(각자대표이사)",20411
(주)삼성출판사,00423690,068290,김진용,5811
(주)SG글로벌,00152039,001380,이의범,303
KPX홀딩스(주),00587466,092230,양준영,201
영화금속(주),00141413,012280,최동윤(단독 대표이사),303
(주)동방,00115287,004140,"김형곤, 박창기",529
주식회사 화승엔터프라이즈,01128613,241590,이계영,15219
조선선재(주),00796994,120030,장원영,2599
다스코(주),00353878,058730,"한상원, 한남철",25112
주식회사 크래프톤,00760971,259960,김창한,5821
(주)BYC,00122579,001460,김 대 환,14120
(주)에스제이엠,00815369,123700,김휘중 (단독 대표이사),303
지엠비코리아(주),00156354,013870,"정세영, 송병영",303
미래산업(주),00197759,025560,이창재,27219
(주)에이블씨엔씨,00400857,078520,신유정,20423
한전산업개발(주),00194947,130660,함흥규,72129
주식회사 디에스단석,00108612,017860,한승욱,204
SNT다이내믹스(주),00134477,003570,박재석,303
S-Oil(주),00138279,010950,Anwar A. Al-Hejazi (안와르 에이 알-히즈아지),19210
한국무브넥스(주),00160418,010100,이현덕,303
(주)이수화학                             ,00145552,005950,"김동민, 주봉진",20111
(주)디엔오토모티브,00116949,007340,김상헌 김인환,28202
(주)주연테크,00269241,044380,김희라,26310
